"File","Status","BeforeMB","AfterMB","SavedPct"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Finance\Chapitre N°1. Les marchés de taux d_intérêt (Séance 3).pdf","skip-small","0,81","0,81","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Finance\Chapitre N°1. Les marchés de taux d_intérêt.pdf","skip-small","1,43","1,43","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Finance\Chapitre N°1. Les taux d_intérêt (Séance 1).pdf","skip-small","0,6","0,6","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Finance\Chapitre N°1. Les taux d_intérêt (Séance 4).pdf","skip-small","1,1","1,1","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Finance\Chapitre N°2 . Le marché des taux d_intérêt (Final).pdf","skip-small","1,29","1,29","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Finance\Chapitre N°2 . Les marchés de taux d_intérêt (Séance 2).pdf","skip-small","1","1","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Correction Examen\CorrigÃ© examen 2022.pdf","skip-small","0,96","0,96","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Cours\1-Applications  mesurables.pdf","skip-no-gain","2,94","4,92","-67,4"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Cours\3-Intégration.pdf","skip-no-gain","2,48","4,53","-82,8"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Cours\4-Th-Conv-Dominée.pdf","skip-no-gain","1,58","2,17","-37,1"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Cours\5-Mesures produits.pdf","skip-small","0,99","0,99","0"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Cours\Mesures positives.pdf","skip-no-gain","3,14","8,4","-167,4"
"D:\lectures-library\universite-des-sciences-et-de-la-technologie-houari-boumediene-usthb\M1\Mesure et Intégration\Td\Espaces Lp.pdf","skip-small","0,99","0,99","0"
